descripcion,codigo,NOVA
Acelga,V001,1
"Acelga, congelada",V050,3
"Acelga, pencas",V073,1
Achicoria,V002,1
Ají en conserva,V081,3
Ají Locoto,V077,1
Ají rojo / morrón rojo,V003,1
Ají verde o amarillo / morrón verde o amarillo,V004,1
Ajo,V065,1
Albahaca,V071,1
"Alcaparras, encurtido",V069,3
Alcaucil,V005,1
Apio,V006,1
"Arveja, congelada",V051,3
"Arveja, enlatada",V008,3
"Arveja, fresca",V007,1
Berenjena,V010,1
Berro,V011,1
Brócoli,V012,1
Brotes de soja,V013,1
Brotes de tacuara (bambú) en escabeche,V075,3
Caldo de verduras colado,V082,4
Cebolla,V014,1
Cebolla de verdeo,V052,1
"Champignones, enlatados",V074,3
"Champignones, frescos",V076,1
"Chaucha, congelada",V053,3
"Chaucha, fresca",V016,1
Chuchu o chayote,V078,1
Coliflor,V015,1
Escarola,V020,1
Espárrago,V021,1
Espinaca,V022,1
Habas,V023,1
Hakusai o col china,V054,1
Hinojo,V024,1
Hojas de parra,V083,1
"Hongos, enlatados",V026,3
"Hongos, frescos",V025,1
"Hongos, secos",V080,1
"Jardinera, congelada",V055,3
"Jardinera, enlatada",V056,3
Jengibre,V066,1
Kale,V057,1
Lechuga,V027,1
Mandioca,V028,1
Medallones de verdura congelados industrializados,V072,4
"Palmitos, enlatados",V029,3
Pepino,V031,1
Perejil,V067,1
"Pickles, en vinagre",V070,3
"Prefritos congelados, croquetas de vegetales (espinaca, brócoli)",V062,4
"Prefritos congelados, milanesas de vegetales (4 vegetales, espinaca)",V063,4
"Prefritos congelados, patitas de vegetales (espinaca)",V064,4
Puerro,V032,1
Rabanito,V033,1
Radicheta,V034,1
Remolacha,V035,1
Repollito de Bruselas,V036,1
Repollo,V037,1
Rúcula,V058,1
Tomate,V038,1
"Tomate, desecado",V068,3
"Tomate, enlatado",V039,3
"Tomate, puré de tomate",V060,3
Tomate cherry,V059,1
Verdolaga,V079,1
Zanahoria,V040,1
Zapallito,V041,1
Zapallo,V042,1
"Zapallo / calabaza, puré instantáneo (polvo)*",V084,4
Zucchini,V061,1
Aceituna negra,F050,3
Aceituna verde,F001,3
"Alimento a base de coco (leche de coco, industrializada)",F069,4
Acerola,F044,1
Ananá,F003,1
"Ananá, enlatado (fruta y almíbar)",F004,3
Ananá glaseado,F071,4
Arándanos,F060,1
Banana,F006,1
Banana deshidratada,F067,1
Cayota o Alcayota,F045,1
Cereza,F007,1
Ciruela pasa / ciruela seca,F009,3
Ciruela,F008,1
Coco fresco,F046,1
"Coco, leche",F066,1
Coco rallado,F051,3
"Coctail de frutas, enlatado (fruta y almíbar)",F052,4
Damasco,F010,1
Dátiles,F061,3
"Durazno, enlatado light (fruta y almíbar)",F013,4
"Durazno, enlatado (fruta y almíbar)",F012,3
Durazno,F011,1
Durazno orejón,F014,3
Frambuesa,F064,1
Frutas abrillantadas,F065,4
Frutilla,F015,1
Granada,F016,1
Guabirova,F053,1
Guayaba,F017,1
Higo desecado,F054,3
Higo,F018,1
Kaki,F019,1
Kinoto,F020,1
Kiwi,F021,1
Limón,F022,1
"Limón, ralladura",F059,1
Mamón,F023,1
Mandarina,F024,1
Mango,F025,1
Manzana con piel,F027,1
Manzana sin piel,F028,1
Maracuyá,F070,1
Melón,F029,1
Membrillo,F030,1
Mora,F055,1
Naranja,F031,1
"Naranja, ralladura",F062,1
Níspero,F032,1
Palta,F034,1
Papaya,F063,1
Pera,F036,1
"Pera, enlatada (fruta y almíbar)",F037,3
"Pera, enlatada light (fruta y almíbar)",F038,4
Pera orejón,F039,3
Pitanga,F056,1
Pomelo,F041,1
Puré de frutas envasado (alimento infantil),F057,4
Sandía,F042,1
Tuna,F058,1
Uva,F043,1
Uva pasa,F035,3
Almidón de maíz,A001,2
Almidón de mandioca,A193,2
Amaranto,A002,4
Anchi,A101,4
Arroz blanco,A003,3
Arroz inflado azucarado,A191,4
Arroz integral,A004,3
Arroz yamaní,A102,3
"(tipo cuatro quesos, primavera, etc.)",A103,3
"Arroz a la portuguesa (envasado, fortificado con vitaminas y minerales)",A255,4
"Arroz a la valenciana (envasado, fortificado con vitaminas y minerales)",A257,4
"Arveja, semilla seca entera / partida",A006,4
"Avena, arrollada",A005,4
"Avena, almohaditas",A104,4
Barra crocante de arroz,A105,4
Barra de cereal fortificada,A106,4
Barra de cereal light,A107,4
"Barra de cereales, PROMEDIO",A008,4
Batata,A073,1
Bizcochitos de grasa envasados,A108,4
Bizcochitos de grasa envasados light,A109,4
Bizcochitos de arroz envasados (tipo galletita),A110,4
"Bizcochos de grasa (panadería) / Criollitos, Libritos (pan con grasa)",A009,2
Bizcochos tipo Bay Biscuit,A010,4
Bizcochuelo preparado (panadería),A229,4
Bizcochuelo preparado a partir de polvo premezcla,A111,4
"Bizcochuelo preparado a partir de polvo premezcla, SIN TACC",A112,4
Bollitos de anís,A113,4
Brownie (panadería),A236,4
Budín industrializado,A114,4
"Budín industrializado con nueces, tipo navideño",A234,4
"Capelettis / capelettinis deshidratados, envasados",A115,4
"Capelettis frescos, artesanal",A011,4
"Cereal desayuno, aritos frutales",A074,4
"Cereal desayuno, aritos sabor miel",A182,4
"Cereal desayuno, bolitas de chocolate",A194,4
"Cereal desayuno, copos de maíz sin azúcar, sin fortificar",A075,4
Cereal infantil para papilla,A116,4
Cheesecake (panadería / confitería),A248,4
Chipá,A013,3
Chipá preparado a partir de polvo premezcla,A120,4
"Chipaco o pan con chicharrón, comprado",A216,4
Choclo,A076,1
"Choclo, congelado en grano",A176,1
"Choclo, enlatado cremoso",A078,3
"Choclo, enlatado en grano",A077,3
Churros,A014,4
