codigo,descripcion,kcal_100g
V001,"Acelga, cruda",18.0
V073,"Acelga, pencas, crudas",8.0
V002,"Achicoria, cruda",12.0
V081,Ají en conserva,20.0
V004,"Ají verde o amarillo / morrón verde o amarillo, crudo",17.0
V065,"Ajo, crudo",91.0
V071,"Albahaca, cruda",23.0
V069,"Alcaparras, encurtido",24.0
V005,"Alcaucil, crudo",41.0
V006,"Apio, crudo",10.0
V008,"Arveja, enlatada",104.0
V007,"Arveja, fresca, cruda",83.0
V010,"Berenjena, cruda",16.0
V011,"Berro, crudo",18.0
V012,"Brócoli, crudo",27.0
V013,"Brotes de soja, crudo",30.0
V014,"Cebolla de verdeo, cruda",28.0
V052,"Cebolla de verdeo, cruda",28.0
V074,"Champignones, enlatados",21.0
V076,"Champignones, frescos, crudos",24.0
V016,"Chaucha, fresca, cruda",29.0
V078,"Chuchu o chayote, crudo",16.0
V015,"Coliflor, crudo",23.0
V020,"Escarola, cruda",12.0
V021,"Espárrago, crudo",18.0
V022,"Espinaca, cruda",21.0
V023,"Habas, cruda",95.0
V054,"Hakusai o col china, crudo",13.0
V024,"Hinojo, crudo",24.0
V026,"Hongos, enlatados",21.0
V025,"Hongos, frescos, crudos",24.0
V080,"Hongos, secos",303.0
V056,"Jardinera, enlatada",67.0
V066,Jengibre,77.0
V057,"Kale, crudo",26.0
V027,"Lechuga, cruda",12.0
V028,"Mandioca, cruda",153.0
V029,"Palmitos, enlatados",25.0
V031,"Pepino, crudo",12.0
V067,"Perejil, crudo",47.0
V070,"Pickles, en vinagre",7.0
V064,"Prefritos congelados, patitas de vegetales (espinaca)",225.0
V032,"Puerro, crudo",38.0
V033,"Rabanito, crudo",23.0
V034,"Radicheta, cruda",14.0
V035,"Remolacha, cruda",44.0
V036,"Repollito de Bruselas, crudos",43.0
V037,"Repollo, crudo",19.0
V058,"Rúcula, cruda",24.0
V038,"Tomate, crudo",17.0
V068,"Tomate, desecado",257.0
V039,"Tomate, enlatado",12.0
V060,"Tomate, puré de tomate",37.0
V059,"McDonald's, Cajita Feliz, Tomate cherry 50g",23.0
V079,"Verdolaga, cruda",19.0
V040,"Zanahoria, cruda",43.0
V041,"Zapallito, crudo",15.0
V042,"Zapallo, crudo",36.0
V061,"Zucchini, crudo",16.0
F050,Aceituna negra,119.0
F001,Aceituna verde,130.0
F044,Acerola,31.0
F003,Ananá,50.0
F004,"Ananá, enlatado (fruta y almíbar)",84.0
F071,Ananá,50.0
F060,Arándanos,54.0
F006,Banana,92.0
F067,Banana,92.0
F007,Cereza,65.0
F009,Ciruela pasa / ciruela seca,236.0
F008,Ciruela,51.0
F051,Coco rallado,504.0
F052,"Coctail de frutas, enlatado (fruta y almíbar)",74.0
F010,Damasco,41.0
F061,Dátiles,282.0
F013,"Durazno, enlatado light (fruta y almíbar)",43.0
F012,"Durazno, enlatado (fruta y almíbar)",70.0
F011,Durazno,45.0
F014,Durazno orejón,234.0
F064,Frambuesa,32.0
F065,Frutas abrillantadas,327.0
F015,Frutilla,31.0
F016,Granada,63.0
F017,Guayaba,47.0
F054,Higo desecado,238.0
F018,Higo,74.0
F019,Kaki,67.0
F020,Kinoto,47.0
F021,Kiwi,56.0
F022,Limón,35.0
F059,Limón,35.0
F023,Mamón,38.0
F024,Mandarina,52.0
F025,Mango,60.0
F027,Manzana con piel,48.0
F028,Manzana sin piel,59.0
F070,Maracuyá,67.0
F029,Melón,37.0
F030,Membrillo,56.0
F055,Mora,27.0
F031,Naranja,43.0
F062,Naranja,43.0
F032,Níspero,38.0
F034,Palta,190.0
F063,Papaya,38.0
F036,Pera,55.0
F037,"Pera, enlatada (fruta y almíbar)",72.0
F039,Pera orejón,262.0
F041,Pomelo,22.0
F057,Puré de frutas envasado (alimento infantil),39.0
F042,Sandía,32.0
F058,Aceituna negra,119.0
F043,Uva,73.0
F035,Uva pasa,315.0
A001,"Almidón de maíz, crudo",363.0
A193,"Almidón de mandioca, crudo",363.0
A002,"Amaranto, crudo",366.0
A101,Anchi,116.0
A003,"Arroz blanco, crudo",339.0
A191,Arroz inflado azucarado,382.0
A004,"Arroz integral, crudo",350.0
A102,"Arroz yamaní, crudo",345.0
A103,"Arroz envasado deshidratado listo para preparar con salsa u otros ingredientes (tipo cuatro quesos, primavera, etc.)",355.0
A005,"Avena, arrollada, cruda",357.0
A104,"Avena, almohaditas",366.0
A105,Barra crocante de arroz,399.0
A106,Barra de cereal fortificada,426.0
A107,Barra de cereal light,323.0
A008,"Barra de cereales, PROMEDIO",370.0
A073,"Batata, cruda",73.0
A108,Bizcochitos de grasa envasados,499.0
A109,Bizcochitos de grasa envasados light,444.0
A110,Bizcochitos de arroz envasados (tipo galletita),397.0
A009,"Bizcochos de grasa (panadería) / Criollitos, Libritos (pan con grasa)",392.0
A010,Bizcochos tipo Bay Biscuit,396.0
A111,Bizcochuelo preparado a partir de polvo premezcla,294.0
A112,"Bizcochuelo preparado a partir de polvo premezcla, SIN TACC",266.0
A113,Bollitos de anís,330.0
A236,Brownie (panadería),519.0
A114,Budín industrializado,379.0
