codigo,descripcion,NOVA,env_group,mapping_rule,in_coeff_table
V001,Acelga,1,Vegetables (outdoor),prefix_V,TRUE
V050,"Acelga, congelada",3,Vegetables (outdoor),prefix_V,TRUE
V073,"Acelga, pencas",1,Vegetables (outdoor),prefix_V,TRUE
V002,Achicoria,1,Vegetables (outdoor),prefix_V,TRUE
V081,Ají en conserva,3,Vegetables (outdoor),prefix_V,TRUE
V077,Ají Locoto,1,Vegetables (outdoor),prefix_V,TRUE
V003,Ají rojo / morrón rojo,1,Vegetables (outdoor),prefix_V,TRUE
V004,Ají verde o amarillo / morrón verde o amarillo,1,Vegetables (outdoor),prefix_V,TRUE
V065,Ajo,1,Vegetables (outdoor),prefix_V,TRUE
V071,Albahaca,1,Vegetables (outdoor),prefix_V,TRUE
V069,"Alcaparras, encurtido",3,Vegetables (outdoor),prefix_V,TRUE
V005,Alcaucil,1,Vegetables (outdoor),prefix_V,TRUE
V006,Apio,1,Vegetables (outdoor),prefix_V,TRUE
V051,"Arveja, congelada",3,Vegetables (outdoor),prefix_V,TRUE
V008,"Arveja, enlatada",3,Vegetables (outdoor),prefix_V,TRUE
V007,"Arveja, fresca",1,Vegetables (outdoor),prefix_V,TRUE
V010,Berenjena,1,Vegetables (outdoor),prefix_V,TRUE
V011,Berro,1,Vegetables (outdoor),prefix_V,TRUE
V012,Brócoli,1,Vegetables (outdoor),prefix_V,TRUE
V013,Brotes de soja,1,Vegetables (outdoor),prefix_V,TRUE
V075,Brotes de tacuara (bambú) en escabeche,3,Vegetables (outdoor),prefix_V,TRUE
V082,Caldo de verduras colado,4,Vegetables (outdoor),prefix_V,TRUE
V014,Cebolla,1,Vegetables (outdoor),prefix_V,TRUE
V052,Cebolla de verdeo,1,Vegetables (outdoor),prefix_V,TRUE
V074,"Champignones, enlatados",3,Vegetables (outdoor),prefix_V,TRUE
V076,"Champignones, frescos",1,Vegetables (outdoor),prefix_V,TRUE
V053,"Chaucha, congelada",3,Vegetables (outdoor),prefix_V,TRUE
V016,"Chaucha, fresca",1,Vegetables (outdoor),prefix_V,TRUE
V078,Chuchu o chayote,1,Vegetables (outdoor),prefix_V,TRUE
V015,Coliflor,1,Vegetables (outdoor),prefix_V,TRUE
V020,Escarola,1,Vegetables (outdoor),prefix_V,TRUE
V021,Espárrago,1,Vegetables (outdoor),prefix_V,TRUE
V022,Espinaca,1,Vegetables (outdoor),prefix_V,TRUE
V023,Habas,1,Vegetables (outdoor),prefix_V,TRUE
V054,Hakusai o col china,1,Vegetables (outdoor),prefix_V,TRUE
V024,Hinojo,1,Vegetables (outdoor),prefix_V,TRUE
V083,Hojas de parra,1,Vegetables (outdoor),prefix_V,TRUE
V026,"Hongos, enlatados",3,Vegetables (outdoor),prefix_V,TRUE
V025,"Hongos, frescos",1,Vegetables (outdoor),prefix_V,TRUE
V080,"Hongos, secos",1,Vegetables (outdoor),prefix_V,TRUE
V055,"Jardinera, congelada",3,Vegetables (outdoor),prefix_V,TRUE
V056,"Jardinera, enlatada",3,Vegetables (outdoor),prefix_V,TRUE
V066,Jengibre,1,Vegetables (outdoor),prefix_V,TRUE
V057,Kale,1,Vegetables (outdoor),prefix_V,TRUE
V027,Lechuga,1,Vegetables (outdoor),prefix_V,TRUE
V028,Mandioca,1,Starchy vegetables,prefix_V_starchy_keyword,TRUE
V072,Medallones de verdura congelados industrializados,4,Vegetables (outdoor),prefix_V,TRUE
V029,"Palmitos, enlatados",3,Vegetables (outdoor),prefix_V,TRUE
V031,Pepino,1,Vegetables (outdoor),prefix_V,TRUE
V067,Perejil,1,Vegetables (outdoor),prefix_V,TRUE
V070,"Pickles, en vinagre",3,Vegetables (outdoor),prefix_V,TRUE
V062,"Prefritos congelados, croquetas de vegetales (espinaca, brócoli)",4,Vegetables (outdoor),prefix_V,TRUE
V063,"Prefritos congelados, milanesas de vegetales (4 vegetales, espinaca)",4,Vegetables (outdoor),prefix_V,TRUE
V064,"Prefritos congelados, patitas de vegetales (espinaca)",4,Vegetables (outdoor),prefix_V,TRUE
V032,Puerro,1,Vegetables (outdoor),prefix_V,TRUE
V033,Rabanito,1,Vegetables (outdoor),prefix_V,TRUE
V034,Radicheta,1,Vegetables (outdoor),prefix_V,TRUE
V035,Remolacha,1,Vegetables (outdoor),prefix_V,TRUE
V036,Repollito de Bruselas,1,Vegetables (outdoor),prefix_V,TRUE
V037,Repollo,1,Vegetables (outdoor),prefix_V,TRUE
V058,Rúcula,1,Vegetables (outdoor),prefix_V,TRUE
V038,Tomate,1,Vegetables (outdoor),prefix_V,TRUE
V068,"Tomate, desecado",3,Vegetables (outdoor),prefix_V,TRUE
V039,"Tomate, enlatado",3,Vegetables (outdoor),prefix_V,TRUE
V060,"Tomate, puré de tomate",3,Vegetables (outdoor),prefix_V,TRUE
V059,Tomate cherry,1,Vegetables (outdoor),prefix_V,TRUE
V079,Verdolaga,1,Vegetables (outdoor),prefix_V,TRUE
V040,Zanahoria,1,Vegetables (outdoor),prefix_V,TRUE
V041,Zapallito,1,Vegetables (outdoor),prefix_V,TRUE
V042,Zapallo,1,Vegetables (outdoor),prefix_V,TRUE
V084,"Zapallo / calabaza, puré instantáneo (polvo)*",4,Vegetables (outdoor),prefix_V,TRUE
V061,Zucchini,1,Vegetables (outdoor),prefix_V,TRUE
F050,Aceituna negra,3,Fruits,prefix_F,TRUE
F001,Aceituna verde,3,Fruits,prefix_F,TRUE
F069,"Alimento a base de coco (leche de coco, industrializada)",4,Fruits,prefix_F,TRUE
F044,Acerola,1,Fruits,prefix_F,TRUE
F003,Ananá,1,Fruits,prefix_F,TRUE
F004,"Ananá, enlatado (fruta y almíbar)",3,Fruits,prefix_F,TRUE
F071,Ananá glaseado,4,Fruits,prefix_F,TRUE
F060,Arándanos,1,Fruits,prefix_F,TRUE
F006,Banana,1,Fruits,prefix_F,TRUE
F067,Banana deshidratada,1,Fruits,prefix_F,TRUE
F045,Cayota o Alcayota,1,Fruits,prefix_F,TRUE
F007,Cereza,1,Fruits,prefix_F,TRUE
F009,Ciruela pasa / ciruela seca,3,Fruits,prefix_F,TRUE
F008,Ciruela,1,Fruits,prefix_F,TRUE
F046,Coco fresco,1,Fruits,prefix_F,TRUE
F066,"Coco, leche",1,Fruits,prefix_F,TRUE
F051,Coco rallado,3,Fruits,prefix_F,TRUE
F052,"Coctail de frutas, enlatado (fruta y almíbar)",4,Fruits,prefix_F,TRUE
F010,Damasco,1,Fruits,prefix_F,TRUE
F061,Dátiles,3,Fruits,prefix_F,TRUE
F013,"Durazno, enlatado light (fruta y almíbar)",4,Fruits,prefix_F,TRUE
F012,"Durazno, enlatado (fruta y almíbar)",3,Fruits,prefix_F,TRUE
F011,Durazno,1,Fruits,prefix_F,TRUE
F014,Durazno orejón,3,Fruits,prefix_F,TRUE
F064,Frambuesa,1,Fruits,prefix_F,TRUE
F065,Frutas abrillantadas,4,Fruits,prefix_F,TRUE
F015,Frutilla,1,Fruits,prefix_F,TRUE
F016,Granada,1,Fruits,prefix_F,TRUE
F053,Guabirova,1,Fruits,prefix_F,TRUE
F017,Guayaba,1,Fruits,prefix_F,TRUE
F054,Higo desecado,3,Fruits,prefix_F,TRUE
F018,Higo,1,Fruits,prefix_F,TRUE
F019,Kaki,1,Fruits,prefix_F,TRUE
F020,Kinoto,1,Fruits,prefix_F,TRUE
F021,Kiwi,1,Fruits,prefix_F,TRUE
F022,Limón,1,Fruits,prefix_F,TRUE
F059,"Limón, ralladura",1,Fruits,prefix_F,TRUE
F023,Mamón,1,Fruits,prefix_F,TRUE
F024,Mandarina,1,Fruits,prefix_F,TRUE
F025,Mango,1,Fruits,prefix_F,TRUE
F027,Manzana con piel,1,Fruits,prefix_F,TRUE
F028,Manzana sin piel,1,Fruits,prefix_F,TRUE
F070,Maracuyá,1,Fruits,prefix_F,TRUE
F029,Melón,1,Fruits,prefix_F,TRUE
F030,Membrillo,1,Fruits,prefix_F,TRUE
F055,Mora,1,Fruits,prefix_F,TRUE
F031,Naranja,1,Fruits,prefix_F,TRUE
F062,"Naranja, ralladura",1,Fruits,prefix_F,TRUE
F032,Níspero,1,Fruits,prefix_F,TRUE
F034,Palta,1,Fruits,prefix_F,TRUE
F063,Papaya,1,Fruits,prefix_F,TRUE
F036,Pera,1,Fruits,prefix_F,TRUE
F037,"Pera, enlatada (fruta y almíbar)",3,Fruits,prefix_F,TRUE
F038,"Pera, enlatada light (fruta y almíbar)",4,Fruits,prefix_F,TRUE
F039,Pera orejón,3,Fruits,prefix_F,TRUE
F056,Pitanga,1,Fruits,prefix_F,TRUE
F041,Pomelo,1,Fruits,prefix_F,TRUE
F057,Puré de frutas envasado (alimento infantil),4,Fruits,prefix_F,TRUE
F042,Sandía,1,Fruits,prefix_F,TRUE
F058,Tuna,1,Fruits,prefix_F,TRUE
F043,Uva,1,Fruits,prefix_F,TRUE
F035,Uva pasa,3,Fruits,prefix_F,TRUE
A001,Almidón de maíz,2,Cereals (without rice),prefix_A_default_cereals,TRUE
A193,Almidón de mandioca,2,Cereals (without rice),prefix_A_default_cereals,TRUE
A002,Amaranto,1,Cereals (without rice),prefix_A_default_cereals,TRUE
A101,Anchi,3,Cereals (without rice),prefix_A_default_cereals,TRUE
A003,Arroz blanco,1,Rice,prefix_A_rice_keyword,TRUE
A191,Arroz inflado azucarado,4,Rice,prefix_A_rice_keyword,TRUE
A004,Arroz integral,1,Rice,prefix_A_rice_keyword,TRUE
A102,Arroz yamaní,1,Rice,prefix_A_rice_keyword,TRUE
A103,"(tipo cuatro quesos, primavera, etc.)",3,Cereals (without rice),prefix_A_default_cereals,TRUE
A255,"Arroz a la portuguesa (envasado, fortificado con vitaminas y minerales)",4,Rice,prefix_A_rice_keyword,TRUE
A257,"Arroz a la valenciana (envasado, fortificado con vitaminas y minerales)",4,Rice,prefix_A_rice_keyword,TRUE
A006,"Arveja, semilla seca entera / partida",1,Legumes and pulses,prefix_A_legumes_keyword,TRUE
A005,"Avena, arrollada",1,Cereals (without rice),prefix_A_default_cereals,TRUE
A104,"Avena, almohaditas",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A105,Barra crocante de arroz,4,Rice,prefix_A_rice_keyword,TRUE
A106,Barra de cereal fortificada,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A107,Barra de cereal light,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A008,"Barra de cereales, PROMEDIO",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A073,Batata,3,Cereals (without rice),prefix_A_default_cereals,TRUE
A108,Bizcochitos de grasa envasados,2,Cereals (without rice),prefix_A_default_cereals,TRUE
A109,Bizcochitos de grasa envasados light,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A110,Bizcochitos de arroz envasados (tipo galletita),4,Rice,prefix_A_rice_keyword,TRUE
A009,"Bizcochos de grasa (panadería) / Criollitos, Libritos (pan con grasa)",2,Baked products,prefix_A_baked_keyword,TRUE
A010,Bizcochos tipo Bay Biscuit,3,Baked products,prefix_A_baked_keyword,TRUE
A229,Bizcochuelo preparado (panadería),4,Baked products,prefix_A_baked_keyword,TRUE
A111,Bizcochuelo preparado a partir de polvo premezcla,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A112,"Bizcochuelo preparado a partir de polvo premezcla, SIN TACC",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A113,Bollitos de anís,3,Cereals (without rice),prefix_A_default_cereals,TRUE
A236,Brownie (panadería),3,Baked products,prefix_A_baked_keyword,TRUE
A114,Budín industrializado,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A234,"Budín industrializado con nueces, tipo navideño",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A115,"Capelettis / capelettinis deshidratados, envasados",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A011,"Capelettis frescos, artesanal",3,Cereals (without rice),prefix_A_default_cereals,TRUE
A074,"Cereal desayuno, aritos frutales",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A182,"Cereal desayuno, aritos sabor miel",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A194,"Cereal desayuno, bolitas de chocolate",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A075,"Cereal desayuno, copos de maíz sin azúcar, sin fortificar",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A116,Cereal infantil para papilla,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A248,Cheesecake (panadería / confitería),3,Baked products,prefix_A_baked_keyword,TRUE
A013,Chipá,3,Cereals (without rice),prefix_A_default_cereals,TRUE
A120,Chipá preparado a partir de polvo premezcla,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A216,"Chipaco o pan con chicharrón, comprado",3,Baked products,prefix_A_baked_keyword,TRUE
A076,Choclo,1,Cereals (without rice),prefix_A_default_cereals,TRUE
A176,"Choclo, congelado en grano",3,Cereals (without rice),prefix_A_default_cereals,TRUE
A078,"Choclo, enlatado cremoso",3,Cereals (without rice),prefix_A_default_cereals,TRUE
A077,"Choclo, enlatado en grano",3,Cereals (without rice),prefix_A_default_cereals,TRUE
A014,Churros,3,Baked products,prefix_A_baked_keyword,TRUE
A180,"Cereal desayuno, copos de cereal integral (arroz y maíz), fortificados",4,Rice,prefix_A_rice_keyword,TRUE
A012,"Cereal desayuno, copos azucarados, sin fortificar",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A117,"Cereal desayuno, copos azucarados, fortificados",4,Cereals (without rice),prefix_A_default_cereals,TRUE
A204,Coquitos (panadería),3,Baked products,prefix_A_baked_keyword,TRUE
A118,Cous Cous,4,Cereals (without rice),prefix_A_default_cereals,TRUE
A119,Cucurucho / cubanito,3,Cereals (without rice),prefix_A_default_cereals,TRUE
A250,Empanaditas chinas (restaurant),3,Baked products,prefix_A_baked_keyword,TRUE
A015,Facturas rellenas,3,Baked products,prefix_A_baked_keyword,TRUE
A016,Facturas simples,3,Baked products,prefix_A_baked_keyword,TRUE
A192,"Farofa tradicional, harina de mandioca condimentada, envasada lista para",2,Cereals (without rice),prefix_A_default_cereals,TRUE
A207,"Fideos de arroz, SIN TACC",4,Rice,prefix_A_rice_keyword,TRUE
A017,"Fideos frescos, al huevo",3,Pasta,prefix_A_pasta_keyword,TRUE
A018,Fideos secos,3,Pasta,prefix_A_pasta_keyword,TRUE
A121,"Fideos secos, fortificados",3,Pasta,prefix_A_pasta_keyword,TRUE
A122,Fideos secos integrales / fideos secos de sémola y harina de legumbres,2,Pasta,prefix_A_pasta_keyword,TRUE
A201,Frangollo (maíz seco pisado),3,Cereals (without rice),prefix_A_default_cereals,TRUE
A064,Galleta de campo,4,Baked products,prefix_A_baked_keyword,TRUE
A206,Galleta de grasa con chicharrón,4,Baked products,prefix_A_baked_keyword,TRUE
A065,Galleta marinera,4,Baked products,prefix_A_baked_keyword,TRUE
A188,Galleta marinera con semillas / galletitas crackers con semillas,4,Nuts and seeds,prefix_A_nuts_keyword,TRUE
A253,Galleta marinera integral,4,Baked products,prefix_A_baked_keyword,TRUE
A203,"Galleta marinera, light en grasas",4,Baked products,prefix_A_baked_keyword,TRUE
A019,Galletas de arroz,4,Rice,prefix_A_rice_keyword,TRUE
