codigo,descripcion,NOVA,env_group_arrieta,env_group_comparable,env_group_extended,mapping_level,extra_rule
V001,Acelga,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V050,"Acelga, congelada",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V073,"Acelga, pencas",1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V002,Achicoria,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V081,Ají en conserva,3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V077,Ají Locoto,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V003,Ají rojo / morrón rojo,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V004,Ají verde o amarillo / morrón verde o amarillo,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V065,Ajo,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V071,Albahaca,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V069,"Alcaparras, encurtido",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V005,Alcaucil,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V006,Apio,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V051,"Arveja, congelada",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V008,"Arveja, enlatada",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V007,"Arveja, fresca",1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V010,Berenjena,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V011,Berro,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V012,Brócoli,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V013,Brotes de soja,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V075,Brotes de tacuara (bambú) en escabeche,3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V082,Caldo de verduras colado,4,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V014,Cebolla,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V052,Cebolla de verdeo,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V074,"Champignones, enlatados",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V076,"Champignones, frescos",1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V053,"Chaucha, congelada",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V016,"Chaucha, fresca",1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V078,Chuchu o chayote,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V015,Coliflor,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V020,Escarola,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V021,Espárrago,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V022,Espinaca,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V023,Habas,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V054,Hakusai o col china,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V024,Hinojo,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V083,Hojas de parra,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V026,"Hongos, enlatados",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V025,"Hongos, frescos",1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V080,"Hongos, secos",1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V055,"Jardinera, congelada",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V056,"Jardinera, enlatada",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V066,Jengibre,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V057,Kale,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V027,Lechuga,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V028,Mandioca,1,Starchy vegetables,Starchy vegetables,Starchy vegetables,base_arrieta,none
V072,Medallones de verdura congelados industrializados,4,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V029,"Palmitos, enlatados",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V031,Pepino,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V067,Perejil,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V070,"Pickles, en vinagre",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V062,"Prefritos congelados, croquetas de vegetales (espinaca, brócoli)",4,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V063,"Prefritos congelados, milanesas de vegetales (4 vegetales, espinaca)",4,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V064,"Prefritos congelados, patitas de vegetales (espinaca)",4,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V032,Puerro,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V033,Rabanito,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V034,Radicheta,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V035,Remolacha,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V036,Repollito de Bruselas,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V037,Repollo,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V058,Rúcula,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V038,Tomate,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V068,"Tomate, desecado",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V039,"Tomate, enlatado",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V060,"Tomate, puré de tomate",3,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V059,Tomate cherry,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V079,Verdolaga,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V040,Zanahoria,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V041,Zapallito,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V042,Zapallo,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V084,"Zapallo / calabaza, puré instantáneo (polvo)*",4,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
V061,Zucchini,1,Vegetables (outdoor),Vegetables (outdoor),Vegetables (outdoor),base_arrieta,none
F050,Aceituna negra,3,Fruits,Fruits,Fruits,base_arrieta,none
F001,Aceituna verde,3,Fruits,Fruits,Fruits,base_arrieta,none
