env_group,source,source_detail,ghg_kg_co2eq_per_kg,land_m2_per_kg,water_l_per_kg,eutro_g_po4eq_per_kg,unit_ghg,unit_land,unit_water,unit_eutro
Beef,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),40.93,251.63,130.77,42.53,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Poultry,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.99,6.87,75,16.34,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Pork,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),2.24,9.86,238.67,16.33,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Lamb and mutton,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),35.8,127.8,189.57,352.87,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Other meats,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),35.8,127.8,189.57,352.87,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Fish and seafood,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),1.83,0.01,0,2.45,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Dairy products,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),1.14,2.98,25,11.98,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Eggs,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),1.32,6.2,57,12.07,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Cereals (without rice),Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.82,4.6,435,3.9,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Rice,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),1.68,1.8,448,10,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Baked products,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.71,5.45,11,4.62,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Pasta,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.71,5.45,11,4.62,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Legumes and pulses,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.22,4.3,33,2.5,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Nuts and seeds,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),2.01,0.33,852,3.62,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Fruits,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.18,0.4,239,10,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Vegetables (outdoor),Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.34,0.48,140,0.61,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Starchy vegetables,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),0.13,0.33,51,1.2,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Oil crops,Arrieta2022_TableS4,10.1007/s11625-021-01087-7 (MOESM1 Table S4 Part I),1.72,10.7,11,18.36,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Sugars_OWID,OWID_Poore2018,Mean of Cane Sugar + Beet Sugar,2.505,1.935,418.9,11.165000000000001,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Wine_OWID,OWID_Poore2018,Entity: Wine,1.79,1.78,78.9,4.57,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Chocolate_OWID,OWID_Poore2018,Entity: Dark Chocolate,46.65,68.96,540.6,87.08,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
Coffee_OWID,OWID_Poore2018,Entity: Coffee,28.53,21.62,25.9,110.52,kg CO2-eq / kg product,m2 / kg product,L / kg product,g PO4-eq / kg product
