food_group,observed_non_upf,nova1,nova3,nova1_nova3_mix,NDG_target
Fruits,7.334599680618275,13.707397431550964,5.675350359024609,8.952137437599319,18
Vegetables (outdoor),3.3131973020404226,7.823746572969052,1.3683595095492074,4.001925862635727,25
Legumes and pulses,0.4217815134001035,1.1578682622943453,0.05168824089354003,0.5029700085393013,5
Cereals (without rice),7.962145570141999,7.05646548577797,1.9509940349615755,4.033843242517978,6
Rice,4.4681384136677496,13.049947918414734,0.00943524188905094,5.32949662232973,3
Pasta,6.156472254671429,0,13.191700806312646,7.809960092366271,3
Baked products,25.83382635737378,0,55.355095238205806,32.77220208880437,3
Starchy vegetables,0.23136833563094375,0.6768008194099879,0,0.2761104560003371,3
Dairy products,9.958039269963091,4.96826363360873,15.38957079037212,11.138051305389869,13
Beef,3.337715529558262,7.087923471517087,0.6479200556016953,3.275210432351328,4
Lamb and mutton,0.3372597020729792,0.9865552349438824,0,0.40247914597287665,0.5
Other meats,0.00740082278195117,0.02164895602275646,0,0.00883199746209751,0.5
Poultry,7.36755518584773,21.551641339477925,0,8.792296562209435,2.5
Pork,6.0670918186641885,10.54518593359898,5.174507602149627,7.365551703456054,1
Fish and seafood,0.861791943302246,1.7921778053361552,0.5338102802652668,1.0471790901113194,3
Eggs,2.851636210952982,8.341632916055994,0,3.4030869972165587,1.5
Oil crops,13.353932393747789,1.1946235310628328,0.4309537779871577,0.7425036427453116,6
Nuts and seeds,0.13604769556407645,0.03812068795859823,0.22061406278769305,0.14616331229210605,2
